epoch,train_loss,val_loss,val_auroc_macro,val_auprc_macro,val_f1_macro,lr
1,0.552049,0.457734,0.647680,0.129915,0.083531,0.00100000
2,0.526392,0.428563,0.732186,0.185678,0.166319,0.00099932
3,0.508560,0.406908,0.821515,0.240882,0.198626,0.00099726
4,0.493082,0.405046,0.847946,0.299442,0.244640,0.00099385
5,0.482499,0.385135,0.860471,0.356950,0.268618,0.00098908
6,0.471891,0.381744,0.883676,0.376825,0.282879,0.00098298
7,0.463770,0.371033,0.869743,0.388884,0.307783,0.00097555
8,0.453081,0.375749,0.879106,0.388355,0.329296,0.00096682
9,0.446385,0.365303,0.884729,0.405959,0.350805,0.00095682
10,0.438552,0.382506,0.879560,0.397792,0.262172,0.00094556
11,0.432249,0.371234,0.901525,0.429346,0.366748,0.00093308
12,0.423471,0.359621,0.899256,0.425775,0.357678,0.00091942
13,0.417582,0.365624,0.885666,0.423515,0.335621,0.00090460
14,0.413202,0.358631,0.902955,0.429780,0.344225,0.00088868
15,0.405644,0.356287,0.900365,0.448801,0.376990,0.00087170
16,0.401521,0.349354,0.903092,0.456911,0.384505,0.00085370
17,0.395472,0.354236,0.898207,0.442998,0.359687,0.00083473
18,0.389866,0.352212,0.909740,0.452311,0.391994,0.00081485
19,0.386375,0.355802,0.897258,0.441932,0.390062,0.00079410
20,0.380498,0.350855,0.897557,0.452418,0.387412,0.00077255
21,0.375525,0.347788,0.891580,0.440799,0.385599,0.00075025
22,0.368932,0.351450,0.892774,0.445172,0.370673,0.00072727
23,0.365014,0.353249,0.895181,0.438134,0.384181,0.00070366
24,0.358685,0.350417,0.887424,0.429966,0.373079,0.00067950
25,0.354277,0.345129,0.895971,0.437456,0.383484,0.00065485
26,0.348381,0.355046,0.891794,0.432799,0.367894,0.00062978
27,0.345025,0.345309,0.892952,0.438557,0.379263,0.00060435
28,0.338955,0.342464,0.886356,0.428443,0.373818,0.00057864
29,0.335721,0.347416,0.887207,0.434197,0.376433,0.00055271
30,0.330415,0.341899,0.881056,0.436796,0.382119,0.00052664
31,0.323184,0.340854,0.881054,0.435844,0.375582,0.00050050
32,0.318236,0.350375,0.887318,0.442793,0.384674,0.00047436
33,0.312517,0.341443,0.886670,0.432737,0.380240,0.00044829
34,0.310082,0.342359,0.880291,0.429824,0.381671,0.00042236
35,0.305538,0.340673,0.879473,0.425427,0.372748,0.00039665
36,0.295980,0.341019,0.874472,0.423861,0.380960,0.00037122
37,0.293958,0.345872,0.874904,0.427805,0.376140,0.00034615
38,0.289186,0.339396,0.876649,0.428211,0.380462,0.00032150
39,0.286716,0.339807,0.875181,0.429184,0.376706,0.00029734
40,0.281205,0.336903,0.871792,0.423902,0.376200,0.00027373
41,0.278423,0.336715,0.872213,0.424363,0.378783,0.00025075
42,0.274463,0.341042,0.869191,0.421733,0.370307,0.00022845
43,0.271785,0.333618,0.866187,0.414737,0.372536,0.00020690
44,0.268882,0.340734,0.865646,0.414494,0.367855,0.00018615
45,0.266307,0.339416,0.868466,0.420181,0.373308,0.00016627
46,0.264784,0.339490,0.865796,0.416101,0.380421,0.00014730
47,0.261489,0.338099,0.865996,0.397905,0.373740,0.00012930
48,0.259177,0.336471,0.862625,0.415654,0.376091,0.00011232
49,0.256400,0.336899,0.865496,0.419342,0.376699,0.00009640
50,0.255166,0.338949,0.864280,0.416043,0.372542,0.00008158
51,0.253959,0.333269,0.864543,0.396943,0.374632,0.00006792
52,0.251835,0.332355,0.861777,0.395222,0.376244,0.00005544
53,0.251757,0.334426,0.861465,0.394784,0.371315,0.00004418
54,0.250808,0.334792,0.862056,0.414066,0.370739,0.00003418
55,0.249827,0.334203,0.861568,0.413589,0.372429,0.00002545
56,0.249009,0.337858,0.861171,0.413222,0.370966,0.00001802
57,0.248077,0.335309,0.860493,0.412422,0.371814,0.00001192
58,0.247845,0.335143,0.861418,0.414136,0.371801,0.00000715
59,0.248802,0.336219,0.860528,0.412411,0.371580,0.00000374
60,0.248648,0.335242,0.860744,0.412714,0.370121,0.00000168
