epoch,train_loss,val_loss,val_auroc_macro,val_auprc_macro,val_f1_macro,lr
1,0.462246,0.408050,0.647533,0.136933,0.079287,0.00100000
2,0.438787,0.378316,0.752802,0.189410,0.154265,0.00100000
3,0.425272,0.388383,0.804264,0.224388,0.145988,0.00100000
4,0.415180,0.358153,0.863683,0.307337,0.227921,0.00100000
5,0.408167,0.350036,0.884070,0.332843,0.278786,0.00100000
6,0.402587,0.347436,0.886244,0.344197,0.301592,0.00100000
7,0.396223,0.353194,0.887413,0.377428,0.283890,0.00100000
8,0.389837,0.339103,0.892302,0.404208,0.303870,0.00100000
9,0.386438,0.343317,0.897709,0.408368,0.299519,0.00100000
10,0.381395,0.340786,0.904128,0.420112,0.316364,0.00100000
11,0.377040,0.337783,0.899486,0.428135,0.316897,0.00100000
12,0.375273,0.332689,0.913954,0.443200,0.325540,0.00100000
13,0.372548,0.341600,0.904833,0.420409,0.327866,0.00100000
14,0.368994,0.335369,0.914421,0.423440,0.315028,0.00100000
15,0.366751,0.341420,0.914318,0.452347,0.315652,0.00100000
16,0.364584,0.334032,0.917443,0.438300,0.335703,0.00100000
17,0.358355,0.332484,0.920929,0.459345,0.350556,0.00050000
18,0.354898,0.320619,0.918708,0.465317,0.367128,0.00050000
19,0.352627,0.325413,0.923580,0.466101,0.362140,0.00050000
20,0.349571,0.320437,0.927960,0.464786,0.384358,0.00050000
21,0.347477,0.314354,0.927774,0.463770,0.380661,0.00050000
22,0.344544,0.323570,0.919773,0.460666,0.362383,0.00050000
23,0.342317,0.322511,0.924873,0.459697,0.376295,0.00050000
24,0.339980,0.318335,0.928886,0.465123,0.367026,0.00050000
25,0.339215,0.320742,0.926405,0.462356,0.374212,0.00050000
26,0.334166,0.314992,0.927472,0.465287,0.374027,0.00025000
27,0.331146,0.314622,0.929555,0.459656,0.370653,0.00025000
28,0.329530,0.314664,0.931166,0.468115,0.392689,0.00025000
29,0.327256,0.317320,0.921760,0.458939,0.372618,0.00025000
